iter	F1	Logloss
0	0.5987896048	0.6854025022
1	0.5996409336	0.6787022368
2	0.6176574042	0.6725385855
3	0.6164095372	0.6663067383
4	0.6154924641	0.6596482463
5	0.6143560873	0.6541314946
6	0.614139993	0.6491532753
7	0.6147887324	0.6442876108
8	0.6158172232	0.6406170632
9	0.6160337553	0.6369145473
10	0.6165202109	0.6317986288
11	0.6167369902	0.6284840337
12	0.6171710063	0.6244630579
13	0.6162504397	0.6203436541
14	0.6169014085	0.618177456
15	0.6159267089	0.6145160104
16	0.6154388438	0.6110359268
17	0.6144620811	0.6080471113
18	0.6144620811	0.6057080706
19	0.6159267089	0.6029329658
20	0.6161438139	0.6001513286
21	0.6166314306	0.5975693483
22	0.6168487839	0.5957980769
23	0.6170662906	0.5938029061
24	0.6168487839	0.5913475137
25	0.6168487839	0.5900652469
26	0.6168487839	0.5876139553
27	0.6168487839	0.5861015121
28	0.6163610719	0.5848286624
29	0.6158730159	0.5837378206
30	0.6153846154	0.5824972099
31	0.6151129944	0.5803592866
32	0.6151129944	0.5789326568
33	0.6155477032	0.577866469
34	0.617553754	0.5768320928
35	0.6197678509	0.57528799
36	0.6183098592	0.5744643202
37	0.6212706213	0.5735734587
38	0.6202531646	0.5723950961
39	0.6210045662	0.5715896311
40	0.6232036453	0.5705647261
41	0.6232036453	0.5701355421
42	0.6239046618	0.5690018604
43	0.6229393195	0.5678083821
44	0.6215363031	0.5671209902
45	0.6213183731	0.5664265074
46	0.6212706213	0.5655255774
47	0.6207381371	0.5649133124
48	0.6202531646	0.5643959295
49	0.6241234222	0.5639258471
50	0.6243868255	0.5627496611
51	0.6236408278	0.5620864042
52	0.6224561404	0.5613626797
53	0.6241234222	0.560416779
54	0.6271899089	0.5598560865
55	0.6263121064	0.5596937669
56	0.6274921301	0.558934191
57	0.627972028	0.5580942023
58	0.6272727273	0.5574317813
59	0.6308443824	0.5564220752
60	0.6293706294	0.5558110334
61	0.6338912134	0.5550966804
62	0.6331938633	0.5545752224
63	0.6370267454	0.5540602653
64	0.6376912378	0.5534369309
65	0.6388888889	0.5528499101
66	0.641025641	0.5520760551
67	0.6396396396	0.5515653272
68	0.6368055556	0.5509767393
69	0.6382536383	0.5502776012
70	0.6408036024	0.5497034455
71	0.6406087859	0.5491672188
72	0.6438923395	0.5489472289
73	0.6464298034	0.5482761851
74	0.6458046768	0.5478367964
75	0.6451169188	0.5474052789
76	0.6451169188	0.5470260116
77	0.6458476321	0.5466784987
78	0.6463121784	0.5463485834
79	0.648630137	0.5459151699
80	0.6493150685	0.5453820328
81	0.6493506494	0.544987573
82	0.6511468675	0.5445361674
83	0.6511627907	0.544385232
84	0.6521145975	0.5439504706
85	0.6520996927	0.5437003247
86	0.6514012303	0.5433436355
87	0.6512103648	0.5426191199
88	0.6532834297	0.5420895828
89	0.6537546721	0.541769548
90	0.6544217687	0.5412761414
91	0.6564729867	0.5409552146
92	0.6594594595	0.540529461
93	0.6608226568	0.5402421861
94	0.6599053414	0.5398740483
95	0.6617150574	0.5393204114
96	0.6619385343	0.5389262686
97	0.6619385343	0.5384234678
98	0.6639676113	0.5380022588
99	0.6659919028	0.5376185618
100	0.6715966387	0.5372233756
101	0.6713615023	0.5368729009
102	0.675142188	0.5364128165
103	0.6771076308	0.5360620413
104	0.6775483011	0.5355087283
105	0.6786546787	0.5351984477
106	0.6810631229	0.534626384
107	0.6808510638	0.5343862006
108	0.6821345708	0.5340746911
109	0.6847862115	0.5336072245
110	0.686073437	0.5334718514
111	0.6858656074	0.5333194175
112	0.6871693122	0.5330617209
113	0.6863004633	0.532781364
114	0.6858656074	0.5323720178
115	0.6897689769	0.5319763579
116	0.6914718472	0.5316918726
117	0.6927117531	0.5313079079
118	0.6937438585	0.5311240947
119	0.6959370904	0.5308524091
120	0.6997389034	0.5304793355
121	0.7012393999	0.5301868801
122	0.6998037933	0.5299197974
123	0.6999673523	0.5294319748
124	0.7022801303	0.5291720089
125	0.7030894309	0.5288500799
126	0.7025974026	0.5285676449
127	0.70561506	0.5281275829
128	0.7046632124	0.5278575207
129	0.7046632124	0.5276419144
130	0.7051198963	0.527307981
131	0.7051198963	0.5269768315
132	0.7042801556	0.5266694175
133	0.7059585492	0.5264175993
134	0.7070249272	0.526129881
135	0.7080906149	0.5258030599
136	0.7099483204	0.5254352746
137	0.7105943152	0.5253184853
138	0.7113834247	0.524914269
139	0.7114267269	0.524632133
140	0.7133182844	0.5244026493
141	0.7135030616	0.5241005963
142	0.7132731959	0.5237820339
143	0.7128139086	0.5233287248
144	0.7130883301	0.5228285029
145	0.7130434783	0.5225725108
146	0.7140102828	0.5222558639
147	0.7150658529	0.5220895471
148	0.7153425539	0.521861625
149	0.7151125402	0.5215845552
150	0.7177677999	0.5211051474
151	0.7193094629	0.5206643972
152	0.7193094629	0.5203930716
153	0.71971876	0.5201791368
154	0.7201790854	0.5198141392
155	0.7211231653	0.5195560739
156	0.7218859509	0.5194002349
157	0.7229837424	0.519132036
158	0.7216035635	0.5189430455
159	0.7217806041	0.5186227138
160	0.7232425586	0.5181290961
161	0.7231888643	0.5177491912
162	0.724509183	0.5175615521
163	0.7234716503	0.5173810425
164	0.7249129471	0.5169783455
165	0.7269851313	0.5168316442
166	0.7293447293	0.5163787485
167	0.7294563843	0.5162034505
168	0.7306599305	0.5158534527
169	0.7295081967	0.5156542839
170	0.7313997478	0.5154122674
171	0.7299086038	0.5151767318
172	0.7303087587	0.5150065239
173	0.7302486623	0.5144838036
174	0.7310474992	0.5142542045
175	0.7332704995	0.5139927255
176	0.7331027979	0.5137696661
177	0.7332912989	0.5134393036
