iter	Passed	Remaining
0	3	3304
1	6	3002
2	8	2908
3	11	2838
4	14	2788
5	16	2759
6	19	2742
7	22	2742
8	24	2728
9	27	2713
10	30	2710
11	34	2856
12	37	2867
13	40	2853
14	44	2925
15	49	3020
16	54	3156
17	72	3945
18	75	3909
19	79	3878
20	83	3880
21	86	3861
22	91	3903
23	96	3917
24	102	3981
25	107	4016
26	112	4047
27	117	4078
28	121	4054
29	124	4027
30	130	4071
31	135	4090
32	139	4083
33	144	4098
34	149	4127
35	153	4111
36	158	4121
37	162	4116
38	166	4092
39	170	4090
40	174	4089
41	178	4066
42	182	4069
43	186	4061
44	192	4081
45	198	4111
46	201	4092
47	206	4089
48	210	4093
49	215	4086
50	219	4091
51	225	4115
52	229	4097
53	232	4075
54	236	4062
55	239	4030
56	244	4038
57	249	4052
58	254	4063
59	259	4066
60	264	4067
61	267	4052
62	272	4046
63	277	4054
64	280	4038
65	286	4059
66	292	4067
67	298	4093
68	303	4090
69	308	4102
70	313	4101
71	318	4100
72	321	4087
73	327	4101
74	331	4089
75	334	4071
76	338	4061
77	343	4064
78	348	4059
79	352	4050
80	355	4038
81	359	4029
82	364	4025
83	368	4013
84	371	3997
85	375	3986
86	379	3979
87	383	3973
88	387	3969
89	393	3980
90	397	3970
91	401	3963
92	406	3966
93	413	3981
94	417	3973
95	421	3972
96	426	3967
97	432	3977
98	436	3971
99	441	3973
100	446	3971
101	451	3972
102	455	3966
103	459	3959
104	463	3948
105	467	3940
106	471	3933
107	475	3928
108	481	3932
109	485	3930
110	490	3930
111	493	3916
112	497	3905
113	502	3909
114	507	3901
115	511	3894
116	515	3892
117	519	3886
118	524	3883
119	528	3877
120	533	3877
121	538	3877
122	543	3871
123	548	3876
124	554	3879
125	559	3882
126	563	3872
127	569	3878
128	573	3871
129	577	3862
130	581	3858
131	587	3860
132	590	3851
133	596	3857
134	601	3853
135	606	3850
136	610	3846
137	615	3846
138	620	3842
139	624	3835
140	628	3831
141	633	3824
142	639	3831
143	643	3827
144	648	3824
145	655	3833
146	658	3823
147	663	3817
148	666	3804
149	669	3794
150	673	3785
151	677	3777
152	680	3767
153	684	3758
154	688	3754
155	692	3747
156	696	3737
157	699	3726
158	703	3719
159	707	3712
160	711	3707
161	715	3702
162	720	3697
163	724	3691
164	728	3684
165	731	3675
166	735	3669
167	744	3684
168	748	3682
169	752	3675
170	757	3670
171	761	3666
172	765	3659
173	770	3658
174	774	3652
175	779	3648
176	795	3699
177	799	3693
178	803	3683
179	806	3675
180	811	3671
181	815	3667
182	820	3661
183	826	3665
184	830	3659
185	835	3656
186	839	3648
187	843	3643
188	848	3638
189	851	3631
190	856	3626
191	860	3619
192	865	3618
193	871	3620
194	876	3617
195	880	3613
196	885	3607
197	889	3604
198	893	3598
199	897	3590
200	902	3587
201	906	3580
202	911	3577
203	917	3580
204	923	3582
205	928	3577
206	932	3570
207	936	3565
208	940	3558
209	944	3552
210	949	3551
211	953	3544
212	957	3538
213	963	3539
214	967	3531
215	970	3524
216	974	3515
217	978	3508
218	982	3502
219	985	3495
220	988	3485
221	992	3479
222	998	3477
223	1002	3472
224	1006	3466
225	1010	3461
226	1014	3456
227	1018	3448
228	1023	3444
229	1027	3440
230	1030	3431
231	1034	3424
232	1037	3415
233	1042	3411
234	1045	3404
235	1049	3399
236	1053	3391
237	1057	3384
238	1059	3374
239	1062	3366
240	1065	3356
241	1068	3347
242	1071	3338
243	1075	3332
244	1079	3325
245	1081	3316
246	1085	3310
247	1090	3306
248	1094	3299
249	1099	3297
250	1101	3286
251	1106	3285
252	1112	3284
253	1115	3277
254	1120	3272
255	1125	3271
256	1130	3269
257	1134	3264
258	1139	3259
259	1144	3258
260	1149	3254
261	1154	3252
262	1160	3251
263	1166	3250
264	1169	3244
265	1173	3238
266	1179	3237
267	1183	3233
268	1188	3230
269	1193	3226
270	1198	3223
271	1202	3217
272	1206	3212
273	1212	3211
274	1217	3209
275	1222	3206
276	1225	3199
277	1229	3192
278	1233	3188
279	1238	3184
280	1242	3180
281	1247	3175
282	1252	3172
283	1257	3171
284	1261	3165
285	1267	3165
286	1272	3161
287	1276	3155
288	1281	3152
289	1285	3147
290	1288	3140
291	1292	3133
292	1296	3128
293	1300	3122
294	1306	3121
295	1310	3115
296	1314	3110
297	1317	3103
298	1320	3096
299	1324	3089
300	1327	3083
301	1331	3077
302	1335	3072
303	1339	3066
304	1343	3061
305	1346	3054
306	1351	3050
307	1354	3043
308	1359	3040
309	1363	3035
310	1367	3030
311	1371	3023
312	1374	3017
313	1379	3014
314	1384	3011
315	1389	3007
316	1394	3004
317	1398	2999
318	1402	2994
319	1408	2993
320	1412	2988
321	1416	2983
322	1422	2982
323	1428	2979
324	1433	2977
325	1438	2974
326	1444	2973
327	1448	2967
328	1452	2962
329	1456	2957
330	1460	2951
331	1464	2946
332	1469	2942
333	1472	2936
334	1477	2932
335	1481	2928
336	1487	2925
337	1490	2919
338	1496	2918
339	1501	2915
340	1507	2913
341	1512	2910
342	1517	2906
343	1521	2901
344	1526	2898
345	1531	2894
346	1538	2896
347	1545	2895
348	1554	2899
349	1558	2894
350	1563	2890
351	1566	2883
352	1571	2880
353	1575	2875
354	1579	2870
355	1583	2864
356	1589	2863
357	1594	2858
358	1597	2853
359	1602	2849
360	1607	2845
361	1612	2842
362	1616	2837
363	1621	2832
364	1626	2829
365	1630	2824
366	1634	2819
367	1639	2815
368	1643	2810
369	1648	2806
370	1653	2803
371	1658	2800
372	1663	2796
373	1667	2790
374	1671	2785
375	1676	2781
376	1681	2778
377	1685	2774
378	1691	2771
379	1696	2768
380	1702	2765
381	1707	2761
382	1711	2756
383	1714	2750
384	1719	2746
385	1722	2740
386	1727	2735
387	1731	2730
388	1735	2726
389	1740	2721
390	1744	2717
391	1748	2712
392	1753	2708
393	1758	2704
394	1762	2699
395	1765	2693
396	1769	2687
397	1772	2680
398	1775	2674
399	1778	2667
400	1781	2661
401	1784	2654
402	1788	2649
403	1791	2642
404	1794	2636
405	1798	2630
406	1801	2624
407	1804	2618
408	1807	2612
409	1811	2606
410	1814	2600
411	1817	2593
412	1820	2587
413	1823	2581
414	1828	2577
415	1832	2572
416	1836	2567
417	1840	2562
418	1844	2557
419	1848	2552
420	1852	2547
421	1856	2542
422	1860	2537
423	1864	2532
424	1868	2527
425	1872	2523
426	1876	2518
427	1879	2512
428	1883	2507
429	1888	2502
430	1891	2497
431	1895	2492
432	1898	2486
433	1901	2480
434	1906	2475
435	1909	2469
436	1912	2463
437	1915	2457
438	1918	2451
439	1922	2446
440	1925	2440
441	1928	2434
442	1931	2428
443	1935	2423
444	1938	2417
445	1941	2411
446	1945	2406
447	1948	2400
448	1951	2394
449	1954	2388
450	1957	2382
451	1960	2376
452	1963	2370
453	1965	2364
454	1968	2358
455	1971	2351
456	1974	2345
457	1976	2339
458	1979	2332
459	1982	2326
460	1984	2320
461	1987	2314
462	1990	2308
463	1992	2302
464	1995	2296
465	1997	2289
466	2000	2283
467	2003	2277
468	2006	2271
469	2009	2266
470	2012	2260
471	2016	2255
472	2019	2249
473	2022	2244
474	2027	2240
475	2031	2236
476	2036	2232
477	2039	2227
478	2043	2222
479	2047	2218
480	2061	2224
481	2064	2218
482	2067	2212
483	2070	2207
484	2073	2202
485	2081	2201
