Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Bankruptcies,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,No Tax Liens,No Credit Problems,No Bankruptcies,Credit Score Tier,Credit Default,Home Ownership_Home Mortgage,Home Ownership_Own Home,Home Ownership_Rent,Purpose_buy a car,Purpose_buy house,Purpose_debt consolidation,Purpose_educational expenses,Purpose_home improvements,Purpose_major purchase,Purpose_medical bills,Purpose_moving,Purpose_other,Purpose_small business,Purpose_take a trip,Purpose_vacation,Purpose_wedding,Purpose_renewable energy
0.10033804,1.1753724,-0.11095342,0.58449835,-0.6699542,-0.29496297,-0.3409789,-0.33709905,1,-0.080703296,-0.21384361,-0.027876487,-0.2703842,True,True,True,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.81724054,-1.4895487,-0.11095342,0.99194676,-1.465242,-0.1875719,-0.3409789,-0.33709905,0,-0.5200073,-0.22968441,-0.4984462,-0.25161123,True,True,True,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.09320712,1.1753724,-0.11095342,-0.43412268,1.5312887,-0.46927068,1.6647792,2.545732,1,-0.13364531,-0.16632123,0.5418047,-0.23075241,True,False,False,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.5348471,1.1753724,-0.11095342,0.99194676,-0.27231038,0.13285129,-0.3409789,-0.33709905,0,1.8431749,0.09920638,-0.012531823,-0.22240888,True,True,True,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2.0800972,1.1753724,-0.11095342,0.78822255,-0.24390712,0.019732673,-0.3409789,-0.33709905,1,1.8184241,0.120128185,3.8937335,-0.24674417,True,True,True,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.40468267,1.1753724,-0.11095342,0.58449835,-0.30071336,-0.15336585,-0.3409789,-0.33709905,0,1.8378234,-0.8106531,0.5505251,-0.23561947,True,True,True,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.30806372,1.1753724,-0.11095342,-0.6378469,0.2247445,-0.72729564,-0.3409789,-0.33709905,1,0.4933448,-0.5988646,-0.5196604,-0.23701005,True,True,True,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.99464065,0.6423881,-0.11095342,-0.23039849,1.1904513,0.46577957,-0.3409789,-0.33709905,1,0.7599661,1.1086535,1.5279717,-0.2300571,True,True,True,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.20734605,0.37589598,-0.11095342,-1.0452954,-1.337428,-0.88932097,-0.3409789,-0.33709905,0,-1.3961307,-0.86265874,-1.358502,-0.2314477,True,True,True,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-0.20734605,0.6423881,-0.11095342,-0.43412268,1.2472575,-0.353161,-0.3409789,-0.33709905,0,-0.460567,0.17566064,-0.24940984,-0.2314477,True,True,True,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
